
# time  N22        N23        
    0.        629.4861n  629.4852n 
    3.81000p  664.7200m   79.8677m 
    3.82000p  665.3225m   79.1303m 
    3.83000p  665.9250m   78.3928m 
    3.84000p  666.5274m   77.6554m 
    3.85000p  667.1299m   76.9179m 
    3.86000p  667.7323m   76.1804m 
    3.87000p  668.3348m   75.4430m 
    3.88000p  668.9372m   74.7055m 
    3.89000p  669.5397m   73.9681m 
    3.90000p  670.1422m   73.2306m 
    3.91000p  670.7446m   72.4931m 
    3.92000p  671.3471m   71.7557m 
    3.93000p  671.9495m   71.0182m 
    3.94000p  672.5520m   70.2808m 
    3.95000p  673.1544m   69.5433m 
    3.96000p  673.7569m   68.8058m 
    3.97000p  674.3594m   68.0684m 
    3.98000p  674.7522m   67.4905m 
    3.99000p  675.0158m   67.0109m 
    4.00000p  675.2795m   66.5313m 
    4.01000p  675.5432m   66.0517m 
    4.02000p  675.8069m   65.5721m 
    4.03000p  676.0705m   65.0925m 
    4.04000p  676.3342m   64.6129m 
    4.05000p  676.5979m   64.1334m 
    4.06000p  676.8615m   63.6538m 
    4.07000p  677.1252m   63.1742m 
    4.08000p  677.3889m   62.6946m 
    4.09000p  677.6525m   62.2150m 
    4.10000p  677.9162m   61.7354m 
    4.11000p  678.1799m   61.2558m 
    4.12000p  678.4436m   60.7762m 
    4.13000p  678.7072m   60.2966m 
    4.14000p  678.9709m   59.8170m 
    4.15000p  679.2346m   59.3374m 
    4.16000p  679.4982m   58.8579m 
    4.17000p  679.7619m   58.3783m 
    4.18000p  680.0256m   57.8987m 
    4.19000p  680.2893m   57.4191m 
    4.20000p  680.5529m   56.9395m 
    4.21000p  680.8166m   56.4599m 
    4.22000p  681.0803m   55.9803m 
    4.23000p  681.3439m   55.5007m 
    4.24000p  681.6076m   55.0211m 
    4.25000p  681.8713m   54.5415m 
    4.26000p  682.1349m   54.0619m 
    4.27000p  682.3986m   53.5824m 
    4.28000p  682.6623m   53.1028m 
    4.29000p  682.9260m   52.6232m 
    4.30000p  683.1896m   52.1436m 
    4.31000p  683.4533m   51.6640m 
    4.32000p  683.7170m   51.1844m 
    4.33000p  683.9806m   50.7048m 
    4.34000p  684.2443m   50.2252m 
    4.35000p  684.5080m   49.7456m 
    4.36000p  684.7717m   49.2660m 
    4.37000p  685.0353m   48.7864m 
    4.38000p  685.2990m   48.3069m 
    4.39000p  685.5627m   47.8273m 
    4.40000p  685.8263m   47.3477m 
    4.41000p  686.0900m   46.8681m 
    4.42000p  686.3537m   46.3885m 
    4.43000p  686.6174m   45.9089m 
    4.44000p  686.8810m   45.4293m 
    4.45000p  687.1447m   44.9497m 
    4.46000p  687.4084m   44.4701m 
    4.47000p  687.6720m   43.9905m 
    4.48000p  687.9357m   43.5109m 
    4.49000p  688.1994m   43.0313m 
    4.50000p  688.4630m   42.5518m 
    4.51000p  688.7267m   42.0722m 
    4.52000p  688.9904m   41.5926m 
    4.53000p  689.2541m   41.1130m 
    4.54000p  689.5177m   40.6334m 
    4.55000p  689.7814m   40.1538m 
    4.56000p  690.0451m   39.6742m 
    4.57000p  690.3087m   39.1946m 
    4.58000p  690.5724m   38.7150m 
    4.59000p  690.8361m   38.2354m 
    4.60000p  691.0998m   37.7558m 
    4.61000p  691.3634m   37.2763m 
    4.62000p  691.6271m   36.7967m 
    4.63000p  691.8908m   36.3171m 
    4.64000p  692.0572m   35.9605m 
    4.65000p  692.1292m   35.7231m 
    4.66000p  692.2013m   35.4857m 
    4.67000p  692.2733m   35.2483m 
    4.68000p  692.3454m   35.0110m 
    4.69000p  692.4174m   34.7736m 
    4.70000p  692.4895m   34.5362m 
    4.71000p  692.5616m   34.2989m 
    4.72000p  692.6336m   34.0615m 
    4.73000p  692.7057m   33.8241m 
    4.74000p  692.7777m   33.5867m 
    4.75000p  692.8498m   33.3494m 
    4.76000p  692.9218m   33.1120m 
    4.77000p  692.9939m   32.8746m 
    4.78000p  693.0659m   32.6373m 
    4.79000p  693.1380m   32.3999m 
    4.80000p  693.2101m   32.1625m 
    4.81000p  693.2821m   31.9251m 
    4.82000p  693.3542m   31.6878m 
    4.83000p  693.4262m   31.4504m 
    4.84000p  693.4983m   31.2130m 
    4.85000p  693.5703m   30.9757m 
    4.86000p  693.6424m   30.7383m 
    4.87000p  693.7145m   30.5009m 
    4.88000p  693.7865m   30.2635m 
    4.89000p  693.8586m   30.0262m 
    4.90000p  693.9306m   29.7888m 
    4.91000p  694.0027m   29.5514m 
    4.92000p  694.0747m   29.3141m 
    4.93000p  694.1468m   29.0767m 
    4.94000p  694.2188m   28.8393m 
    4.95000p  694.2909m   28.6019m 
    4.96000p  694.3630m   28.3646m 
    4.97000p  694.4350m   28.1272m 
    4.98000p  694.5071m   27.8898m 
    4.99000p  694.5791m   27.6525m 
    5.00000p  694.6512m   27.4151m 
    5.01000p  694.7232m   27.1777m 
    5.02000p  694.7953m   26.9403m 
    5.03000p  694.8674m   26.7030m 
    5.04000p  694.9394m   26.4656m 
    5.05000p  695.0115m   26.2282m 
    5.06000p  695.0835m   25.9909m 
    5.07000p  695.1556m   25.7535m 
    5.08000p  695.2276m   25.5161m 
    5.09000p  695.2997m   25.2787m 
    5.10000p  695.3717m   25.0414m 
    5.11000p  695.4438m   24.8040m 
    5.12000p  695.5159m   24.5666m 
    5.13000p  695.5879m   24.3293m 
    5.14000p  695.6600m   24.0919m 
    5.15000p  695.7320m   23.8545m 
    5.16000p  695.8041m   23.6171m 
    5.17000p  695.8761m   23.3798m 
    5.18000p  695.9482m   23.1424m 
    5.19000p  696.0203m   22.9050m 
    5.20000p  696.0923m   22.6677m 
    5.21000p  696.1644m   22.4303m 
    5.22000p  696.2364m   22.1929m 
    5.23000p  696.3085m   21.9555m 
    5.24000p  696.3805m   21.7182m 
    5.25000p  696.4526m   21.4808m 
    5.26000p  696.5246m   21.2434m 
    5.27000p  696.5967m   21.0061m 
    5.28000p  696.6688m   20.7687m 
    5.29000p  696.7408m   20.5313m 
    5.30000p  696.8129m   20.2939m 
    5.31000p  696.8849m   20.0566m 
    5.32000p  696.9570m   19.8192m 
    5.33000p  697.0290m   19.5818m 
    5.34000p  697.1011m   19.3445m 
    5.35000p  697.1732m   19.1071m 
    5.36000p  697.2452m   18.8697m 
    5.37000p  697.3173m   18.6324m 
    5.38000p  697.3893m   18.3950m 
    5.39000p  697.4614m   18.1576m 
    5.40000p  697.5334m   17.9202m 
    5.41000p  697.6055m   17.6829m 
    5.42000p  697.6775m   17.4455m 
    5.43000p  697.7496m   17.2081m 
    5.44000p  697.8217m   16.9708m 
    5.45000p  697.8937m   16.7334m 
    5.46000p  697.9658m   16.4960m 
    5.47000p  698.0378m   16.2586m 
    5.48000p  698.1099m   16.0213m 
    5.49000p  698.1714m   15.8097m 
    5.50000p  698.1853m   15.7154m 
    5.51000p  698.1991m   15.6212m 
    5.52000p  698.2129m   15.5270m 
    5.53000p  698.2267m   15.4327m 
    5.54000p  698.2405m   15.3385m 
    5.55000p  698.2543m   15.2442m 
    5.56000p  698.2682m   15.1500m 
    5.57000p  698.2820m   15.0558m 
    5.58000p  698.2958m   14.9615m 
